project_num,project_name,SowKey
41391,#LTbelieves,
450373,#StayHome Movement,
436632,100 Club - 2020 Retainer,
488488,100 Club - 2021 Retainer,
534581,100 Club - 2022 Retainer,100 Club SOW - 2022 - signed
294170,100 Club - Fundraising Video,
283617,100 Club - NON-BILLABLE,
310641,100 Club - PR Retainer 2018,SOW_ 100 Club - 2018 PR Program
380331,100 Club - PR Retainer 2019,100 Club 2019 Public Relations & Social Media Program SOW - 02.22.19
276704,100 Club - Public Relations,100 Club of Arizona - PR Program SOW - 08.25.17
591899,100 Club | 2023 Retainer,
668575,100 Club | 2024 PR Retainer,
666505,100 Club | Website Rebuild,
638495,10Zig | Blog Audit & Site Translation,
678156,10Zig | Website Maintenance 2024,
617412,10Zig | Website Redesign 2023,
335252,12 News - Branding Project,SOW_ LaneTerralever - 12 News Brand Research & Strategy
343214,12 News - Digital Media Project - September Sweeps,12 News - September Sweeps Digital Media SOW - 08.28.18
335416,12 News I Non-Billable,
348572,12 News | Digital Media - November Sweeps,SOW_ LaneTerralever - 12 News November Sweeps
118209,2016 CABB New Business ~,
546634,"2021 Annual Report, Story Writing",
555404,2022/2023 McCain Website Maintenance,
69377,21C - E6 Branding Project ~,
87732,21C - E6 Go-To-Market ~,
76917,21C - E6 Sales ~,
217323,">LT - Infrastructure (network, desktop, servers, etc.)",
172121,[LT Initiative] LT Positioning,
153978,[LT Q1 Initiative] Performance Driven,
125654,[LT Q1 Initiative] WIP Reduction,
429000,AAC - Content Creation (12/19 - 2020),
398870,AAC - Content Marketing & SEO,SOW_ LaneTerralever  American Addiction Centers - Content Marketing and SEO
464984,AAI - Video Production,
478117,Accelerated Science Change Order FY21,
492691,Access MBA - Paid Social Campaign,
37984,ACCI - Arizona Chamber of Commerce Email Template,
511338,ACE | ACE Website,ACE Website SOW_Fully Executed
606110,ACERTUS | GA4 Ecommerce Setup,
610284,ACERTUS | GA4 Three Site Setup,
654560,ACERTUS | Growth Marketing Retainer 2024,
600369,ACERTUS | PPC 2023,
586473,ACERTUS | SEO,
575139,ACERTUS| Growth Marketing 2022-2023,ACERTUS Growth Marketing Retainer -  SOW
258513,ACNC - Arizona Center for Nature Conservation (May - June 2017),
261224,ACNC - NON-BILLABLE (May - June 2017),
512272,ACNC FY22 Retainer,
558514,ACNC FY23 Retainer,
266465,ACNC | Arizona Center for Nature Conservation FY18 (RETAINER),
322047,ACNC | Arizona Center for Nature Conservation FY19 (RETAINER),SOW_ Arizona Center for Nature Conservation FY19
400457,ACNC | Arizona Center for Nature Conservation FY20 (RETAINER),SOW_ Arizona Center for Nature Conservation FY20
340931,ACNC | Arizona Center for Nature Conservation Google Grant,
334034,ACNC | Bugs Creative Development & FY19 Media Planning,SOW_ LaneTerralever [Arizona Center for Nature Conservation - Bugs Creative Development]
465643,ACNC | FY21 Retainer,
616020,ACNC | FY24 Retainer,
617465,ACNC | FY24 Web Maintenance Retainer,
270083,ACNC | Non-Billable FY18,
324843,ACNC | Non-Billable FY19,
562856,ACNC | Website Maintenance,
375423,ACNC | Website Redesign,SOW_ LaneTerralever _ ACNC Website Redesign
402675,ACNC | Website Redesign - 2019,Arizona Center for Nature Conservation - Website Rebuild - phoenixzoo.org - SOW - 08.28.19
306953,Act! | 2018 Retainer,SOW_ LaneTerralever & Act! _ 2018 Retainer
592464,Act! | 2023 DM Retainer,
587062,Act! | Conversion Rate Optimizations,
540259,Act! | Growth Marketing (SEO/DM/CRO) Retainer 2022,ACT! Software Growth Marketing Retainer - Fully executed SOW
306954,Act! | Non-Billable Work,
564834,Act! | Slim DM Retainer 2022,
480035,Acteev | Brand,
524937,Acteev | FY22,
591898,Acteev | FY23 Q1/Q2 Retainer,
623840,Acteev | FY23 Q3/Q4 Retainer,LaneTerralever Acteev FY23 Marketing SOW - Q3_Q4 (APM 7-Aug-23) _LT_Edits-SignedCopy-Revision0
658182,Acteev | FY24 Retainer,
496265,Acteev | GTM Strategy,
506541,Acteev | In-Person Meetings,
517980,Acteev | Market Surveys,
492271,Acteev | Phase 2 Website Redesign,
490545,Acteev | Phase 3,
493595,Acteev | PR Retainer,
504356,Acteev | Product Video,
507465,Acteev | Promotional Plan,
521566,Action Pest Control,
398747,ADOT - 2020 Creative Campaign,
474963,ADOT - Broadway Curve PO#1 - Dec20 - Feb21,
488025,"ADOT - Broadway Curve PO#2, PO#3, PO#4 - Mar 2021 - Dec 2021",
535719,ADOT - Broadway Curve PO#5 - Jan 2022 - Jun 2022,
562709,ADOT - Broadway Curve PO#6 - Jul 2022 - Dec 2022,
589584,ADOT - Broadway Curve PO#7 - Jan 2023 - June 2023,
615349,ADOT - Broadway Curve PO#8 - July 2023 - Dec 2023,
650049,ADOT - Broadway Curve PO#9 - Jan 2024 - Dec 2024,
534374,ADOT Broadway Curve 2022,
654220,ADOT | Public Service Campaign,
483628,ADOT | Sales 2021,
518241,ADOT | Slotted EV,
453717,AG | AgJunction Brand Strategy,SOW_ LaneTerralever _ AgJunction SOW_ Brand Strategy & Planning
467381,AG | AgJunction Sales 2020,
589144,AH | Anderson Hay Website Redesign,Anderson Hay - Website Redesign SOW
